part_no,Part name,slno,section name,total electors,total part votes
127,"PanchayatUnionElementarySchool-OothumeduRamanaickenpalayam(North)-636109,TerracedBuildingFacingNorth",4,"4-Ramanaickanpalayam(R.V)And(P),Ward6,Oothumedu 401",628,135
127,"PanchayatUnionElementarySchool-OothumeduRamanaickenpalayam(North)-636109,TerracedBuildingFacingNorth",5,"5-Ramanaickanpalayam(R.V)And(P),Ward6,OothumeduSouthKattukottai 528",628,86
128,"PanchayatUnionElementarySchool-RasiNagarRamanaickenpalayam(North)-636109,TerracedBuildingFacingNorthWest",1,"1-Ramanaickanpalayam(R.V)And(P),Ward6,OothumeduWestkattukottai 1",562,124
128,"PanchayatUnionElementarySchool-RasiNagarRamanaickenpalayam(North)-636109,TerracedBuildingFacingNorthWest",2,"2-Ramanaickanpalayam(R.V)And(P),Ward6,OothumeduNorthKattukottai 125",562,53
128,"PanchayatUnionElementarySchool-RasiNagarRamanaickenpalayam(North)-636109,TerracedBuildingFacingNorthWest",3,"3-Ramanaickanpalayam(R.V)And(P),Ward6,OothumeduEastKattukottai 178",562,66
128,"PanchayatUnionElementarySchool-RasiNagarRamanaickenpalayam(North)-636109,TerracedBuildingFacingNorthWest",4,"4-Ramanaickanpalayam(R.V)And(P),Ward6,MainRoadWestSide 242",562,54
128,"PanchayatUnionElementarySchool-RasiNagarRamanaickenpalayam(North)-636109,TerracedBuildingFacingNorthWest",5,"5-Ramanaickanpalayam(R.V)And(P),Ward6,RasinagarSchool&Westside 295",562,197
128,"PanchayatUnionElementarySchool-RasiNagarRamanaickenpalayam(North)-636109,TerracedBuildingFacingNorthWest",6,"6-Ramanaickanpalayam(R.V)And(P),Ward6,MainRoadEastSide 488",562,49
128,"PanchayatUnionElementarySchool-RasiNagarRamanaickenpalayam(North)-636109,TerracedBuildingFacingNorthWest",7,"7-Ramanaickanpalayam(R.V)And(P),Ward5,6,Ramamoorthinagar,Kattukottai 537",562,19
129,"PanchayatUnionElementarySchool-RasiNagarRamanaickenpalayam(North)-636109,TilledBuildingFacingSouthWestWing",1,"1 2 2-Ramanaickanpalayam(R.V)And(P),Ward6,AavaraiMalaiArea 148 166 18
3-Ramanaickanpalayam(R.V)And(P),Ward6,Ayyangaradu&SouthKattukottaigal",1000,147
129,"PanchayatUnionElementarySchool-RasiNagarRamanaickenpalayam(North)-636109,TilledBuildingFacingSouthWestWing",2,"2-Ramanaickanpalayam(R.V)And(P),Ward6,AavaraiMalaiArea 148",1000,18
129,"PanchayatUnionElementarySchool-RasiNagarRamanaickenpalayam(North)-636109,TilledBuildingFacingSouthWestWing",3,"167 4-Ramanaickanpalayam(R.V)And(P),Ward4,6,MainroadWestside&Thanimaram",1000,105
129,"PanchayatUnionElementarySchool-RasiNagarRamanaickenpalayam(North)-636109,TilledBuildingFacingSouthWestWing",4,"272 5 5-Ramanaickanpalayam(R.V)And(P),Ward5,6,KaramaniThittu 341 1002 111",1000,69
129,"PanchayatUnionElementarySchool-RasiNagarRamanaickenpalayam(North)-636109,TilledBuildingFacingSouthWestWing",5,"5-Ramanaickanpalayam(R.V)And(P),Ward5,6,KaramaniThittu 341",1000,111
129,"PanchayatUnionElementarySchool-RasiNagarRamanaickenpalayam(North)-636109,TilledBuildingFacingSouthWestWing",6,"6-Ramanaickanpalayam(R.V)And(P),Ward6,RamamoorthiNagar 447",1000,258
129,"PanchayatUnionElementarySchool-RasiNagarRamanaickenpalayam(North)-636109,TilledBuildingFacingSouthWestWing",7,"7-Ramanaickanpalayam(R.V)And(P),Ward6,RasinagarPeriyasamiKoil 689",1000,226
129,"PanchayatUnionElementarySchool-RasiNagarRamanaickenpalayam(North)-636109,TilledBuildingFacingSouthWestWing",8,"901 9 9-Ramanaickanpalayam(R.V)And(P),Ward6,ElangoNagar 909 1003 59",1000,7
129,"PanchayatUnionElementarySchool-RasiNagarRamanaickenpalayam(North)-636109,TilledBuildingFacingSouthWestWing",9,"9-Ramanaickanpalayam(R.V)And(P),Ward6,ElangoNagar 909",1000,59
