part_no,Part name,slno,section name,total electors,total part votes
1,"GovernmentTribalResidanceMiddleSchool-Thalvallam-636138,TerracedBuildingFacingwestNorthWing",1,"1 - Koilputhur (R.V),Periyakalrayan Melnadu (P), Ward 1, Koilputhur",749,224
1,"GovernmentTribalResidanceMiddleSchool-Thalvallam-636138,TerracedBuildingFacingwestNorthWing",2,"2 - Koilputhur (R.V),Periyakalrayan Melnadu (P), Ward 1, Melvallam",749,151
1,"GovernmentTribalResidanceMiddleSchool-Thalvallam-636138,TerracedBuildingFacingwestNorthWing",3,"3 - Koilputhur (R.V),Periyakalrayan Melnadu (P), Ward 1, Perandoor",749,374
2,"GovernmentTribalResidanceMiddleSchool-Thalvallam-636138,TerracedBuildingFacingNorthWestWing",1,"1 - Koilputhur (R.V),Periyakalrayan Melnadu (P), Ward 1, Morasampatty",790,169
2,"GovernmentTribalResidanceMiddleSchool-Thalvallam-636138,TerracedBuildingFacingNorthWestWing",2,"2 - Koilputhur (R.V),Periyakalrayan Melnadu (P), Ward 1, Thalvallam",790,621
